"Reference","Value","Datasheet","Footprint","Qty","DNP"
"7SEG1","ELS-431SURWA/S530-A2","http://www.kingbrightusa.com/images/catalog/SPEC/sc39-11ewa.pdf","Display_7Segment:Sx39-1xxxxx","1",""
"C1","22 nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"Dio1","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"I2C_1","I2C_Connector","~","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","1",""
"J1","Power","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J2,J4","Digital/PWM","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","2",""
"J3","Analog","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","1",""
"J5","Terminal_01x02","~","joel_library:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"K1","~","","joel_library:IMB03ITS","1",""
"LED1","LED_R","~","LED_THT:LED_D5.0mm","1",""
"LED2","LED_G","~","LED_THT:LED_D5.0mm","1",""
"LED3","LED_B","~","LED_THT:LED_D5.0mm","1",""
"LED4","LED_RKBG","~","LED_THT:LED_D5.0mm-4_RGB","1",""
"LED5","LED_Y","~","LED_THT:LED_D5.0mm","1",""
"Pot1,Pot2,R1,R2","10k","~","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"Q1","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92L_Inline","1",""
"R3","10 k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4,R5,R6,R7,R15","220","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R8,R9,R10,R11,R12,R13","220R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","6",""
"R14","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"SPI_1","SPI_Connector_1","~","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","1",""
"SPI_2","SPI_Connector_2","~","Connector_PinSocket_2.00mm:PinSocket_1x04_P2.00mm_Vertical","1",""
"SW1","SW_pin_13","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","joel_library:RND_Tactile_Switch_THT","1",""
"SW2","SW_pin_14","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","joel_library:RND_Tactile_Switch_THT","1",""
"SW3","SW_pin_15","http://www.apem.com/int/index.php?controller=attachment&id_attachment=1371","joel_library:RND_Tactile_Switch_THT","1",""
"SW4","SW_DIP_x02","~","Button_Switch_THT:SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","1",""
"Tmp1","TMP36","https://shop.bb-sensors.com/out/media/Datasheet_Digital_Semiconductor_temperatur_sensor_TSIC.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"U1","74HCT4511","http://www.ti.com/lit/gpn/sn74LS248","Package_DIP:DIP-16_W7.62mm","1",""
